# supplement.csv の書き方(この#で始まる2行は消さなくてOK。読み込み時に自動で無視されます)
# TARGETの出馬表を見ながら 馬名・騎手・単勝オッズ(例: 3.2)・人気(例: 1) を入力。場所/R/馬番は変更しないでください。
場所,R,馬番,馬名,騎手,単勝オッズ,人気,斤量
小倉,11,1,ランフォーヴァウ,石川裕紀人,20.2,10,54
小倉,11,2,ジェニファー,田口貫太,15.7,8,55
小倉,11,3,プロトポロス,幸英明,61.5,13,53
小倉,11,4,アンクルクロス,松若風馬,7.4,3,56
小倉,11,5,アブキールベイ,西村淳也,16.2,9,55.5
小倉,11,6,オタルエバー,角田大和,29.2,11,56
小倉,11,7,デアヴェローチェ,川田将雅,4.3,2,51
小倉,11,8,アメリカンビキニ,酒井学,12.2,6,55
小倉,11,9,ヨシノイースター,田辺裕信,7.9,4,58
小倉,11,10,サウンドモリアーナ,吉村誠之助,12.7,7,55
小倉,11,11,ヤマニンアルリフラ,団野大成,11.9,5,57.5
小倉,11,12,フリッカージャブ,松山弘平,3.7,1,57.5
小倉,11,13,イツモニコニコ,藤懸貴志,40.0,12,53
