馬名,調教日,調教コース,累計
アブキールベイ,2026/06/24,栗東CW,136.8-118.1-99.1-81.8-67.0-51.8-36.8-23.0-11.5
アブキールベイ,2026/06/26,栗東坂路,65.6-48.4-32.0-15.8
アブキールベイ,2026/06/27,栗東CW,168.3-147.2-126.7-107.4-89.6-71.7-53.5-35.1-17.8
アブキールベイ,2026/06/28,栗東坂路,57.8-40.5-25.4-12.5
アブキールベイ,2026/06/30,栗東坂路,63.0-47.2-31.7-15.8
アブキールベイ,2026/07/01,栗東坂路,53.7-38.6-24.7-12.2
アブキールベイ,2026/07/03,栗東坂路,62.6-45.8-30.0-14.4
アメリカンビキニ,2026/06/26,栗東坂路,68.0-50.7-33.8-16.9
アメリカンビキニ,2026/06/27,栗東坂路,69.3-50.3-33.0-16.4
アメリカンビキニ,2026/06/30,栗東坂路,67.8-49.0-31.6-15.7
アンクルクロス,2026/06/24,栗東坂路,66.8-49.2-32.4-16.2
アンクルクロス,2026/06/27,栗東坂路,72.0-52.2-35.0-17.2
アンクルクロス,,栗東坂路,66.0-47.9-31.7-15.8
アンクルクロス,2026/06/28,栗東CW,79.8-59.5-40.3-23.9-11.8
アンクルクロス,2026/07/01,栗東CW,51.1-35.8-22.4-11.0
イツモニコニコ,2026/06/25,栗東坂路,52.1-37.3-24.1-12.1
イツモニコニコ,2026/06/28,栗東坂路,57.1-41.3-27.5-13.8
イツモニコニコ,2026/07/01,栗東坂路,52.7-37.5-24.2-11.9
オタルエバー,2026/06/24,栗東坂路,51.3-37.2-25.1-13.3
オタルエバー,2026/06/28,栗東坂路,58.3-43.5-28.5-13.8
オタルエバー,2026/06/30,栗東坂路,65.9-47.9-31.5-15.5
オタルエバー,2026/07/01,栗東坂路,50.8-37.7-25.8-13.7
オタルエバー,2026/07/03,栗東坂路,66.0-47.7-30.8-15.3
サウンドモリアーナ,2026/06/24,栗東坂路,57.4-40.5-25.3-12.3
サウンドモリアーナ,2026/06/26,栗東坂路,64.9-47.9-31.5-15.7
サウンドモリアーナ,2026/06/27,栗東坂路,53.8-37.9-24.6-12.5
サウンドモリアーナ,2026/06/30,栗東坂路,63.0-46.5-30.8-15.2
サウンドモリアーナ,2026/07/01,栗東坂路,55.4-40.4-25.4-12.5
サウンドモリアーナ,2026/07/03,栗東坂路,65.4-48.1-32.4-15.8
ジェニファー,2026/06/24,栗東坂路,58.6-41.8-26.6-12.7
デアヴェローチェ,2026/06/24,栗東CW,141.8-120.7-101.6-82.9-67.3-52.4-37.3-23.1-11.4
デアヴェローチェ,2026/06/26,栗東CW,221.4-163.6-103.5-50.8
デアヴェローチェ,2026/06/27,栗東CW,343.7-291.7-238.6-189.9-152.4-117.6-85.1-54.3-26.6
デアヴェローチェ,2026/06/27,栗東CW,299.0-241.8-178.9-117.6-56.3
デアヴェローチェ,,栗東CW,278.1-225.8-178.0-146.3-119.9-92.6-67.5-43.6-21.3
デアヴェローチェ,2026/06/27,栗東坂路,64.8-47.3-30.8-15.3
デアヴェローチェ,2026/06/28,栗東坂路,55.9-40.1-26.1-13.2
デアヴェローチェ,2026/06/30,栗東坂路,62.9-45.6-29.6-14.8
デアヴェローチェ,2026/07/01,栗東坂路,54.1-39.3-25.3-12.4
デアヴェローチェ,2026/07/03,栗東坂路,66.9-47.9-31.1-15.6
プロトポロス,2026/06/24,栗東坂路,63.9-46.0-29.7-14.9
プロトポロス,2026/06/25,栗東CW,141.6-120.7-101.6-84.5-68.7-52.6-36.5-22.2-11.1
プロトポロス,2026/06/27,栗東坂路,64.0-46.0-30.0-14.9
プロトポロス,2026/06/28,栗東坂路,59.2-43.1-28.7-14.4
プロトポロス,2026/06/30,栗東坂路,64.0-47.2-30.9-15.2
プロトポロス,2026/07/01,栗東CW,142.4-122.3-102.1-84.2-68.6-53.5-37.8-23.8-11.6
ヤマニンアルリフラ,2026/06/24,栗東坂路,83.0-61.1-39.4-19.4
ヤマニンアルリフラ,2026/06/24,栗東坂路,53.3-37.6-24.5-12.1
ヤマニンアルリフラ,2026/06/26,栗東坂路,86.2-63.4-41.9-21.2
ヤマニンアルリフラ,2026/06/26,栗東坂路,70.5-51.3-34.0-16.8
ヤマニンアルリフラ,2026/06/27,栗東坂路,68.3-49.5-32.6-16.1
ヤマニンアルリフラ,2026/06/28,栗東坂路,80.2-58.3-38.2-18.9
ヤマニンアルリフラ,2026/06/28,栗東坂路,57.6-40.8-26.4-12.5
ヤマニンアルリフラ,2026/06/30,栗東坂路,76.2-55.4-35.8-17.6
ヤマニンアルリフラ,2026/06/30,栗東坂路,69.2-50.7-33.3-16.5
ヤマニンアルリフラ,2026/07/01,栗東坂路,82.6-61.0-40.1-19.9
ヤマニンアルリフラ,2026/07/01,栗東坂路,56.1-40.3-25.4-12.0
ヤマニンアルリフラ,2026/07/03,栗東坂路,83.8-60.7-39.4-19.2
ヤマニンアルリフラ,2026/07/03,栗東坂路,71.0-51.4-33.5-16.3
ヨシノイースター,2026/06/24,栗東坂路,52.4-37.5-24.1-12.1
ヨシノイースター,2026/06/26,栗東坂路,70.0-52.9-36.9-19.5
ヨシノイースター,2026/06/28,栗東坂路,64.6-48.4-32.6-16.3
ヨシノイースター,2026/06/28,栗東坂路,60.2-44.2-29.4-15.1
ヨシノイースター,2026/06/30,栗東坂路,62.1-45.8-30.9-15.8
ヨシノイースター,2026/07/01,栗東坂路,53.7-39.0-25.1-12.1
ヨシノイースター,2026/07/03,栗東坂路,62.8-46.3-31.3-15.7
ランフォーヴァウ,2026/06/24,栗東坂路,52.4-37.3-24.4-12.6
ランフォーヴァウ,2026/06/26,栗東坂路,72.9-54.3-36.4-17.8
ランフォーヴァウ,2026/06/27,栗東坂路,63.7-46.8-31.5-16.1
ランフォーヴァウ,2026/06/28,栗東CW,140.1-121.8-104.5-88.2-72.4-55.4-38.9-24.4-12.0
ランフォーヴァウ,2026/06/30,栗東CW,81.4-62.6-45.6-29.7-15.2
ランフォーヴァウ,2026/07/01,栗東坂路,53.2-38.4-25.1-12.5
ランフォーヴァウ,2026/07/03,栗東CW,67.9-48.9-31.3-15.4
フリッカージャブ,2026/06/24,栗東坂路,51.3-37.8-24.3-11.9
フリッカージャブ,2026/06/28,栗東坂路,55.8-40.0-25.4-12.7
フリッカージャブ,2026/07/01,栗東坂路,53.1-38.2-24.2-11.9
